time,mbps
2024-06-27 09:40:56,0.00048
2024-06-27 09:40:57,0.128504
2024-06-27 09:40:58,0.004096
2024-06-27 09:41:01,0.513416
2024-06-27 09:41:02,1.248416
2024-06-27 09:41:03,0.641128
2024-06-27 09:41:04,0.017488
2024-06-27 09:41:05,20.626832
2024-06-27 09:41:06,25.770528
2024-06-27 09:41:07,33.494888
2024-06-27 09:41:08,38.420264
2024-06-27 09:41:09,17.82052
2024-06-27 09:41:10,9.737432
2024-06-27 09:41:11,7.820392
2024-06-27 09:41:12,0.007936
2024-06-27 09:41:13,0.00064
2024-06-27 09:41:16,1.367
2024-06-27 09:41:17,0.049968
2024-06-27 09:41:18,0.013352
2024-06-27 09:41:19,2.007088
2024-06-27 09:41:20,0.143656
2024-06-27 09:41:25,2.199904
2024-06-27 09:41:29,2.782584
2024-06-27 09:41:33,2.126144
2024-06-27 09:41:36,1.982456
2024-06-27 09:41:41,1.522312
2024-06-27 09:41:44,1.590432
2024-06-27 09:41:45,0.004344
2024-06-27 09:41:47,1.609472
2024-06-27 09:41:52,1.523752
2024-06-27 09:41:57,1.70232
2024-06-27 09:42:02,0.00628
2024-06-27 09:42:03,1.405544
2024-06-27 09:42:05,0.001528
2024-06-27 09:42:06,1.579072
2024-06-27 09:42:07,1.894016
2024-06-27 09:42:08,16.694528
2024-06-27 09:42:09,2.29504
2024-06-27 09:42:12,0.926616
2024-06-27 09:42:14,1.129944
2024-06-27 09:42:17,1.37284
2024-06-27 09:42:18,0.003104
2024-06-27 09:42:21,1.646952
2024-06-27 09:42:25,1.693168
2024-06-27 09:42:29,1.356624
2024-06-27 09:42:35,2.024184
2024-06-27 09:42:41,1.497048
2024-06-27 09:42:43,0.008352
2024-06-27 09:42:44,1.593872
2024-06-27 09:42:46,1.636672
2024-06-27 09:42:51,1.28712
2024-06-27 09:42:52,0.05624
2024-06-27 09:42:57,1.29732
2024-06-27 09:43:01,1.542952
2024-06-27 09:43:03,0.0008
2024-06-27 09:43:04,0.123768
2024-06-27 09:43:05,1.438528
2024-06-27 09:43:06,0.001208
2024-06-27 09:43:08,0.005064
2024-06-27 09:43:09,1.512504
2024-06-27 09:43:14,1.345648
2024-06-27 09:43:18,2.20104
2024-06-27 09:43:19,0.00064
2024-06-27 09:43:21,2.359168
2024-06-27 09:43:26,1.371824
2024-06-27 09:43:31,1.68192
2024-06-27 09:43:34,1.170816
2024-06-27 09:43:40,2.278376
2024-06-27 09:43:41,11.829336
2024-06-27 09:43:44,1.000592
2024-06-27 09:43:48,10.48244
2024-06-27 09:43:52,0.085136
2024-06-27 09:43:53,0.086448
2024-06-27 09:43:56,3.643496
2024-06-27 09:43:57,7.469704
