cache,policy,N,QoE_mean,QoE_median,QoE_std,Delta_vs_MPC
EDGE_OFF,BOLA,30,221.25,221.25,0.0,271.7346667894047
EDGE_OFF,MPC,30,-50.48466678940466,88.49999999999952,441.4591342148888,0.0
EDGE_OFF,PREDICT,30,-11541.68703603611,-12515.59999999991,2308.923806947467,-11491.202369246705
EDGE_ON,BOLA,30,221.25,221.25,0.0,265.4636815095699
EDGE_ON,MPC,30,-44.21368150956989,88.49999999999952,432.73230430072624,0.0
EDGE_ON,PREDICT,30,-11421.00128910307,-12438.199999999957,2308.3611496749463,-11376.7876075935
