time,mbps
2024-06-13 14:22:02,0.227016
2024-06-13 14:22:03,0.00908
2024-06-13 14:22:04,0.029408
2024-06-13 14:22:05,0.019232
2024-06-13 14:22:06,0.022904
2024-06-13 14:22:07,0.40228
2024-06-13 14:22:08,0.05092
2024-06-13 14:22:09,0.04448
2024-06-13 14:22:10,0.035616
2024-06-13 14:22:11,0.040984
2024-06-13 14:22:12,0.048048
2024-06-13 14:22:13,0.035832
2024-06-13 14:22:14,0.025688
2024-06-13 14:22:15,0.037752
2024-06-13 14:22:16,0.026656
2024-06-13 14:22:17,0.030728
2024-06-13 14:22:18,0.033248
2024-06-13 14:22:19,0.035736
2024-06-13 14:22:20,0.037672
2024-06-13 14:22:21,0.028384
2024-06-13 14:22:22,0.069064
2024-06-13 14:22:23,0.089152
2024-06-13 14:22:24,0.004312
2024-06-13 14:22:25,0.003464
2024-06-13 14:22:26,0.0056
2024-06-13 14:22:27,0.0082
2024-06-13 14:22:28,0.031192
2024-06-13 14:22:29,0.019536
2024-06-13 14:22:30,0.01836
2024-06-13 14:22:31,0.024152
2024-06-13 14:22:32,0.035928
2024-06-13 14:22:33,0.04252
2024-06-13 14:22:34,0.039904
2024-06-13 14:22:35,0.041384
2024-06-13 14:22:36,0.036096
2024-06-13 14:22:37,0.031216
2024-06-13 14:22:38,0.02244
2024-06-13 14:22:39,0.022392
2024-06-13 14:22:40,0.030008
2024-06-13 14:22:41,0.01656
2024-06-13 14:22:42,0.01832
2024-06-13 14:22:43,0.01388
2024-06-13 14:22:44,0.014704
2024-06-13 14:22:45,0.014648
2024-06-13 14:22:46,0.016472
2024-06-13 14:22:47,0.027
2024-06-13 14:22:48,0.028992
2024-06-13 14:22:49,0.031456
2024-06-13 14:22:50,0.034488
2024-06-13 14:22:51,0.031272
2024-06-13 14:22:52,0.0466
2024-06-13 14:22:53,0.046136
2024-06-13 14:22:54,0.03884
2024-06-13 14:22:55,0.037712
2024-06-13 14:22:56,0.028984
2024-06-13 14:22:57,0.038856
2024-06-13 14:22:58,0.027432
2024-06-13 14:22:59,0.037936
2024-06-13 14:23:00,0.027816
2024-06-13 14:23:01,0.154712
2024-06-13 14:23:02,0.039008
2024-06-13 14:23:03,0.070616
2024-06-13 14:23:04,0.042056
2024-06-13 14:23:05,0.032648
2024-06-13 14:23:06,0.043112
2024-06-13 14:23:07,0.088864
2024-06-13 14:23:08,0.023856
2024-06-13 14:23:09,0.01516
2024-06-13 14:23:10,0.058296
2024-06-13 14:23:11,0.063744
2024-06-13 14:23:12,0.055136
2024-06-13 14:23:13,0.06196
2024-06-13 14:23:14,0.069696
2024-06-13 14:23:15,0.069744
2024-06-13 14:23:16,0.072928
2024-06-13 14:23:17,0.09084
2024-06-13 14:23:18,0.097624
2024-06-13 14:23:19,0.090784
2024-06-13 14:23:20,0.170464
2024-06-13 14:23:21,0.066688
2024-06-13 14:23:22,0.088288
2024-06-13 14:23:23,0.088304
2024-06-13 14:23:24,0.08416
2024-06-13 14:23:25,0.06448
2024-06-13 14:23:26,0.057432
2024-06-13 14:23:27,0.060312
2024-06-13 14:23:28,0.071616
2024-06-13 14:23:29,0.034912
2024-06-13 14:23:30,0.172248
2024-06-13 14:23:31,0.025952
2024-06-13 14:23:32,0.018304
2024-06-13 14:23:33,0.007552
2024-06-13 14:23:34,0.012672
2024-06-13 14:23:35,0.007368
2024-06-13 14:23:36,0.007896
2024-06-13 14:23:37,0.023104
2024-06-13 14:23:38,0.042576
2024-06-13 14:23:39,0.027784
2024-06-13 14:23:40,0.009744
2024-06-13 14:23:41,0.024544
2024-06-13 14:23:42,0.015416
2024-06-13 14:23:43,0.007888
2024-06-13 14:23:44,0.017408
2024-06-13 14:23:45,0.021096
2024-06-13 14:23:46,0.007344
2024-06-13 14:23:47,0.01844
2024-06-13 14:23:48,0.0138
2024-06-13 14:23:49,0.019128
2024-06-13 14:23:50,0.030456
2024-06-13 14:23:51,0.0034
2024-06-13 14:23:52,0.007936
2024-06-13 14:23:53,0.023688
2024-06-13 14:23:54,0.030456
2024-06-13 14:23:55,0.01916
2024-06-13 14:23:56,0.035568
2024-06-13 14:23:57,0.020016
2024-06-13 14:23:58,0.053736
2024-06-13 14:23:59,0.016328
2024-06-13 14:24:00,0.124632
2024-06-13 14:24:01,0.070208
2024-06-13 14:24:02,0.03248
2024-06-13 14:24:03,0.069176
2024-06-13 14:24:04,0.072792
2024-06-13 14:24:05,0.070072
2024-06-13 14:24:06,0.074712
2024-06-13 14:24:07,0.108808
2024-06-13 14:24:08,0.08772
2024-06-13 14:24:09,0.116264
2024-06-13 14:24:10,0.122784
2024-06-13 14:24:11,0.196592
2024-06-13 14:24:12,0.129544
2024-06-13 14:24:13,0.110696
2024-06-13 14:24:14,0.050472
2024-06-13 14:24:15,0.071856
2024-06-13 14:24:16,0.082128
2024-06-13 14:24:17,0.108144
2024-06-13 14:24:18,0.180088
2024-06-13 14:24:19,0.0638
2024-06-13 14:24:20,0.065376
2024-06-13 14:24:21,0.04132
2024-06-13 14:24:22,0.074424
2024-06-13 14:24:23,0.034944
2024-06-13 14:24:24,0.048184
2024-06-13 14:24:25,0.021952
2024-06-13 14:24:26,0.069248
2024-06-13 14:24:27,0.037464
2024-06-13 14:24:28,0.037496
2024-06-13 14:24:29,0.028896
2024-06-13 14:24:30,0.027504
2024-06-13 14:24:31,0.038784
2024-06-13 14:24:32,0.03528
2024-06-13 14:24:33,0.031536
2024-06-13 14:24:34,0.0234
2024-06-13 14:24:35,0.017832
2024-06-13 14:24:36,0.017488
2024-06-13 14:24:37,0.027328
2024-06-13 14:24:38,0.13768
2024-06-13 14:24:39,0.023144
2024-06-13 14:24:40,0.020872
2024-06-13 14:24:41,0.078256
2024-06-13 14:24:42,0.055112
2024-06-13 14:24:43,0.095408
2024-06-13 14:24:44,0.106752
2024-06-13 14:24:45,0.149776
2024-06-13 14:24:46,0.14696
2024-06-13 14:24:47,0.147248
2024-06-13 14:24:48,0.199376
2024-06-13 14:24:49,0.172832
2024-06-13 14:24:50,0.139152
2024-06-13 14:24:51,0.120064
2024-06-13 14:24:52,0.077744
2024-06-13 14:24:53,0.15364
2024-06-13 14:24:54,0.081936
2024-06-13 14:24:55,0.08232
2024-06-13 14:24:56,0.019432
2024-06-13 14:24:57,0.010712
2024-06-13 14:24:58,0.024568
2024-06-13 14:24:59,0.069032
2024-06-13 14:25:00,0.10148
2024-06-13 14:25:01,0.070272
2024-06-13 14:25:02,0.057656
2024-06-13 14:25:03,0.066768
2024-06-13 14:25:04,0.064392
2024-06-13 14:25:05,0.051688
2024-06-13 14:25:06,0.065336
2024-06-13 14:25:07,0.068704
2024-06-13 14:25:08,0.060352
2024-06-13 14:25:09,0.064232
2024-06-13 14:25:10,0.04828
2024-06-13 14:25:11,0.038808
2024-06-13 14:25:12,0.069776
2024-06-13 14:25:13,0.04192
2024-06-13 14:25:14,0.073728
2024-06-13 14:25:15,0.045568
2024-06-13 14:25:16,0.032792
2024-06-13 14:25:17,0.04316
2024-06-13 14:25:18,0.021144
2024-06-13 14:25:19,0.047448
2024-06-13 14:25:20,0.028304
2024-06-13 14:25:21,0.028616
2024-06-13 14:25:22,0.035768
2024-06-13 14:25:23,0.023728
2024-06-13 14:25:24,0.032472
2024-06-13 14:25:25,0.024248
2024-06-13 14:25:26,0.053416
2024-06-13 14:25:27,0.050456
2024-06-13 14:25:28,0.057784
2024-06-13 14:25:29,0.019024
2024-06-13 14:25:30,0.043648
2024-06-13 14:25:31,0.0204
2024-06-13 14:25:32,0.029776
2024-06-13 14:25:33,0.024112
2024-06-13 14:25:34,0.027992
2024-06-13 14:25:35,0.032896
2024-06-13 14:25:36,0.029784
2024-06-13 14:25:37,0.021328
2024-06-13 14:25:38,0.022192
2024-06-13 14:25:39,0.040864
2024-06-13 14:25:40,0.016592
2024-06-13 14:25:41,0.024472
2024-06-13 14:25:42,0.016584
2024-06-13 14:25:43,0.022296
2024-06-13 14:25:44,0.123072
2024-06-13 14:25:45,0.101464
2024-06-13 14:25:46,0.023736
2024-06-13 14:25:47,0.050168
2024-06-13 14:25:48,0.038616
2024-06-13 14:25:49,0.024008
2024-06-13 14:25:50,0.106032
2024-06-13 14:25:51,0.08764
2024-06-13 14:25:52,0.092088
2024-06-13 14:25:53,0.114024
2024-06-13 14:25:54,0.11764
2024-06-13 14:25:55,0.132968
2024-06-13 14:25:56,0.173376
2024-06-13 14:25:57,0.19404
2024-06-13 14:25:58,0.16916
2024-06-13 14:25:59,0.151248
2024-06-13 14:26:00,0.163856
2024-06-13 14:26:01,0.13824
2024-06-13 14:26:02,0.128584
2024-06-13 14:26:03,0.121976
2024-06-13 14:26:04,0.125256
2024-06-13 14:26:05,0.13524
2024-06-13 14:26:06,0.132744
2024-06-13 14:26:07,0.108032
2024-06-13 14:26:08,0.135904
2024-06-13 14:26:09,0.097584
2024-06-13 14:26:10,0.08836
2024-06-13 14:26:11,0.05812
2024-06-13 14:26:12,0.046304
2024-06-13 14:26:13,0.064528
2024-06-13 14:26:14,0.027504
2024-06-13 14:26:15,0.036424
2024-06-13 14:26:16,0.019568
2024-06-13 14:26:17,0.038832
2024-06-13 14:26:18,0.21208
2024-06-13 14:26:19,0.031032
2024-06-13 14:26:20,0.042136
2024-06-13 14:26:21,0.029136
2024-06-13 14:26:22,0.025048
2024-06-13 14:26:23,0.044184
2024-06-13 14:26:24,0.03848
2024-06-13 14:26:25,0.0426
2024-06-13 14:26:26,0.03552
2024-06-13 14:26:27,0.035936
2024-06-13 14:26:28,0.030368
2024-06-13 14:26:29,0.033496
2024-06-13 14:26:30,0.014448
2024-06-13 14:26:31,0.019176
2024-06-13 14:26:32,0.022264
2024-06-13 14:26:33,0.029904
2024-06-13 14:26:34,0.031688
2024-06-13 14:26:35,0.039904
2024-06-13 14:26:36,0.052648
2024-06-13 14:26:37,0.03228
2024-06-13 14:26:38,0.085288
2024-06-13 14:26:39,0.039768
2024-06-13 14:26:40,0.034712
2024-06-13 14:26:41,0.06248
2024-06-13 14:26:42,0.03696
2024-06-13 14:26:43,0.024024
2024-06-13 14:26:44,0.0462
2024-06-13 14:26:45,0.045088
2024-06-13 14:26:46,0.019856
2024-06-13 14:26:47,0.043592
2024-06-13 14:26:48,0.033864
2024-06-13 14:26:49,0.028024
2024-06-13 14:26:50,0.03968
2024-06-13 14:26:51,0.018096
2024-06-13 14:26:52,0.043792
2024-06-13 14:26:53,0.026752
2024-06-13 14:26:54,0.029008
2024-06-13 14:26:55,0.02884
2024-06-13 14:26:56,0.029616
2024-06-13 14:26:57,0.017272
2024-06-13 14:26:58,0.037152
2024-06-13 14:26:59,0.041984
2024-06-13 14:27:00,0.043256
2024-06-13 14:27:01,0.023376
2024-06-13 14:27:02,0.028528
2024-06-13 14:27:03,0.028712
2024-06-13 14:27:04,0.02644
2024-06-13 14:27:05,0.029448
2024-06-13 14:27:06,0.023608
2024-06-13 14:27:07,0.022488
2024-06-13 14:27:08,0.11236
2024-06-13 14:27:09,0.099024
2024-06-13 14:27:10,0.046072
2024-06-13 14:27:11,0.041872
2024-06-13 14:27:12,0.060976
2024-06-13 14:27:13,0.04416
2024-06-13 14:27:14,0.084352
2024-06-13 14:27:15,0.094952
2024-06-13 14:27:16,0.094248
2024-06-13 14:27:17,0.110848
2024-06-13 14:27:18,0.13456
2024-06-13 14:27:19,0.176208
2024-06-13 14:27:20,0.149136
2024-06-13 14:27:21,0.168488
2024-06-13 14:27:22,0.16296
2024-06-13 14:27:23,0.17044
2024-06-13 14:27:24,0.162536
2024-06-13 14:27:25,0.146552
2024-06-13 14:27:26,0.12044
2024-06-13 14:27:27,0.112672
2024-06-13 14:27:28,0.141928
2024-06-13 14:27:29,0.132544
2024-06-13 14:27:30,0.124248
2024-06-13 14:27:31,0.1476
2024-06-13 14:27:32,0.14472
2024-06-13 14:27:33,0.12472
2024-06-13 14:27:34,0.120856
2024-06-13 14:27:35,0.093024
2024-06-13 14:27:36,0.105024
2024-06-13 14:27:37,0.072304
2024-06-13 14:27:38,0.074832
2024-06-13 14:27:39,0.078872
2024-06-13 14:27:40,0.059224
2024-06-13 14:27:41,0.059328
2024-06-13 14:27:42,0.059648
2024-06-13 14:27:43,0.019032
2024-06-13 14:27:44,0.047136
2024-06-13 14:27:45,0.038912
2024-06-13 14:27:46,0.21176
2024-06-13 14:27:47,0.031208
2024-06-13 14:27:48,0.163008
2024-06-13 14:27:49,0.054856
2024-06-13 14:27:50,0.03124
2024-06-13 14:27:51,0.032712
2024-06-13 14:27:52,0.015784
2024-06-13 14:27:53,0.013096
2024-06-13 14:27:54,0.011784
2024-06-13 14:27:55,0.028272
2024-06-13 14:27:56,0.014024
2024-06-13 14:27:57,0.028624
2024-06-13 14:27:58,0.010712
2024-06-13 14:27:59,0.022744
2024-06-13 14:28:00,0.01844
2024-06-13 14:28:01,0.02708
2024-06-13 14:28:02,0.049584
2024-06-13 14:28:03,0.038872
2024-06-13 14:28:04,0.034328
2024-06-13 14:28:05,0.029856
2024-06-13 14:28:06,0.028584
2024-06-13 14:28:07,0.01908
2024-06-13 14:28:08,0.03696
2024-06-13 14:28:09,0.024912
2024-06-13 14:28:10,0.021632
2024-06-13 14:28:11,0.03908
2024-06-13 14:28:12,0.06048
2024-06-13 14:28:13,0.026584
2024-06-13 14:28:14,0.029008
2024-06-13 14:28:15,0.031704
2024-06-13 14:28:16,0.038656
2024-06-13 14:28:17,0.018624
2024-06-13 14:28:18,0.105136
2024-06-13 14:28:19,0.105352
