time,mbps
2024-09-18 12:02:15,0.027008
2024-09-18 12:02:16,0.128216
2024-09-18 12:02:17,0.01192
2024-09-18 12:02:18,0.051424
2024-09-18 12:02:19,0.036368
2024-09-18 12:02:20,0.028152
2024-09-18 12:02:21,0.0328
2024-09-18 12:02:22,0.307784
2024-09-18 12:02:23,0.035376
2024-09-18 12:02:24,0.04092
2024-09-18 12:02:25,0.034424
2024-09-18 12:02:26,0.037912
2024-09-18 12:02:27,0.038024
2024-09-18 12:02:28,0.030808
2024-09-18 12:02:29,0.033272
2024-09-18 12:02:30,0.035408
2024-09-18 12:02:31,0.033336
2024-09-18 12:02:32,0.030728
2024-09-18 12:02:33,0.033896
2024-09-18 12:02:34,0.034056
2024-09-18 12:02:35,0.035296
2024-09-18 12:02:36,0.041472
2024-09-18 12:02:37,0.034712
2024-09-18 12:02:38,0.035656
2024-09-18 12:02:39,0.02728
2024-09-18 12:02:40,0.028264
2024-09-18 12:02:41,0.024192
2024-09-18 12:02:42,0.02856
2024-09-18 12:02:43,0.027096
2024-09-18 12:02:44,0.027608
2024-09-18 12:02:45,0.02644
2024-09-18 12:02:46,0.025312
2024-09-18 12:02:47,0.02544
2024-09-18 12:02:48,0.027216
2024-09-18 12:02:49,0.03044
2024-09-18 12:02:50,0.02956
2024-09-18 12:02:51,0.026192
2024-09-18 12:02:52,0.027368
2024-09-18 12:02:53,0.026096
2024-09-18 12:02:54,0.029456
2024-09-18 12:02:55,0.031616
2024-09-18 12:02:56,0.030272
2024-09-18 12:02:57,0.025808
2024-09-18 12:02:58,0.028272
2024-09-18 12:02:59,0.023904
2024-09-18 12:03:00,0.278704
2024-09-18 12:03:01,0.044208
2024-09-18 12:03:02,0.045632
2024-09-18 12:03:03,0.039184
2024-09-18 12:03:04,0.044296
2024-09-18 12:03:05,0.0876
2024-09-18 12:03:06,0.058992
2024-09-18 12:03:07,0.055384
2024-09-18 12:03:08,0.076448
2024-09-18 12:03:09,0.063992
2024-09-18 12:03:10,0.059952
2024-09-18 12:03:11,0.045112
2024-09-18 12:03:12,0.044632
2024-09-18 12:03:13,0.037168
2024-09-18 12:03:14,0.05268
2024-09-18 12:03:15,0.048144
2024-09-18 12:03:16,0.045624
2024-09-18 12:03:17,0.053232
2024-09-18 12:03:18,0.051392
2024-09-18 12:03:19,0.036944
2024-09-18 12:03:20,0.028336
2024-09-18 12:03:21,0.031536
2024-09-18 12:03:22,0.027408
2024-09-18 12:03:23,0.03096
2024-09-18 12:03:24,0.034544
2024-09-18 12:03:25,0.048312
2024-09-18 12:03:26,0.043608
2024-09-18 12:03:27,0.049936
2024-09-18 12:03:28,0.039712
2024-09-18 12:03:29,0.038144
2024-09-18 12:03:30,0.056808
2024-09-18 12:03:31,0.05088
2024-09-18 12:03:32,0.059904
2024-09-18 12:03:33,0.051456
2024-09-18 12:03:34,0.043976
2024-09-18 12:03:35,0.028136
2024-09-18 12:03:36,0.041264
2024-09-18 12:03:37,0.04636
2024-09-18 12:03:38,0.048344
2024-09-18 12:03:39,0.04488
2024-09-18 12:03:40,0.038032
2024-09-18 12:03:41,0.036952
2024-09-18 12:03:42,0.040648
2024-09-18 12:03:43,0.036352
2024-09-18 12:03:44,0.033856
2024-09-18 12:03:45,0.047896
2024-09-18 12:03:46,0.041352
2024-09-18 12:03:47,0.033544
2024-09-18 12:03:48,0.036384
2024-09-18 12:03:49,0.036792
2024-09-18 12:03:50,0.053496
2024-09-18 12:03:51,0.032808
2024-09-18 12:03:52,0.030736
2024-09-18 12:03:53,0.047528
2024-09-18 12:03:54,0.042104
2024-09-18 12:03:55,0.054712
2024-09-18 12:03:56,0.045912
2024-09-18 12:03:57,0.04804
2024-09-18 12:03:58,0.037376
2024-09-18 12:03:59,0.043816
2024-09-18 12:04:00,0.075432
2024-09-18 12:04:01,0.065232
2024-09-18 12:04:02,0.057144
2024-09-18 12:04:03,0.04628
2024-09-18 12:04:04,0.042912
2024-09-18 12:04:05,0.044192
2024-09-18 12:04:06,0.071128
2024-09-18 12:04:07,0.069488
2024-09-18 12:04:08,0.054864
2024-09-18 12:04:09,0.04828
2024-09-18 12:04:10,0.049848
2024-09-18 12:04:11,0.048544
2024-09-18 12:04:12,0.032136
2024-09-18 12:04:13,0.047096
2024-09-18 12:04:14,0.041272
2024-09-18 12:04:15,0.048968
2024-09-18 12:04:16,0.053736
2024-09-18 12:04:17,0.047144
2024-09-18 12:04:18,0.052552
2024-09-18 12:04:19,0.04788
2024-09-18 12:04:20,0.052896
2024-09-18 12:04:21,0.049992
2024-09-18 12:04:22,0.05228
2024-09-18 12:04:23,0.056536
2024-09-18 12:04:24,0.05584
2024-09-18 12:04:25,0.060808
2024-09-18 12:04:26,0.055304
2024-09-18 12:04:27,0.062648
2024-09-18 12:04:28,0.073104
2024-09-18 12:04:29,0.08872
2024-09-18 12:04:30,0.10128
2024-09-18 12:04:31,0.106832
2024-09-18 12:04:32,0.09872
2024-09-18 12:04:33,0.0846
2024-09-18 12:04:34,0.080472
2024-09-18 12:04:35,0.117576
2024-09-18 12:04:36,0.094288
2024-09-18 12:04:37,0.113856
2024-09-18 12:04:38,0.109672
2024-09-18 12:04:39,0.125352
2024-09-18 12:04:40,0.149536
2024-09-18 12:04:41,0.11108
2024-09-18 12:04:42,0.11056
2024-09-18 12:04:43,0.111616
2024-09-18 12:04:44,0.122256
2024-09-18 12:04:45,0.113912
2024-09-18 12:04:46,0.122968
2024-09-18 12:04:47,0.112912
2024-09-18 12:04:48,0.104336
2024-09-18 12:04:49,0.101296
2024-09-18 12:04:50,0.122128
2024-09-18 12:04:51,0.104208
2024-09-18 12:04:52,0.116928
2024-09-18 12:04:53,0.11468
2024-09-18 12:04:54,0.187384
2024-09-18 12:04:55,0.146184
2024-09-18 12:04:56,0.14116
2024-09-18 12:04:57,0.1318
2024-09-18 12:04:58,0.141496
2024-09-18 12:04:59,0.123192
2024-09-18 12:05:00,0.169376
2024-09-18 12:05:01,0.12056
2024-09-18 12:05:02,0.150856
2024-09-18 12:05:03,0.162776
2024-09-18 12:05:04,0.137936
2024-09-18 12:05:05,0.166432
2024-09-18 12:05:06,0.1394
2024-09-18 12:05:07,0.157328
2024-09-18 12:05:08,0.13204
2024-09-18 12:05:09,0.129584
2024-09-18 12:05:10,0.134576
2024-09-18 12:05:11,0.12456
2024-09-18 12:05:12,0.133456
2024-09-18 12:05:13,0.113672
2024-09-18 12:05:14,0.156576
2024-09-18 12:05:15,0.152536
2024-09-18 12:05:16,0.162488
2024-09-18 12:05:17,0.145768
2024-09-18 12:05:18,0.139352
2024-09-18 12:05:19,0.129744
2024-09-18 12:05:20,0.144408
2024-09-18 12:05:21,0.157088
2024-09-18 12:05:22,0.167752
2024-09-18 12:05:23,0.126416
2024-09-18 12:05:24,0.148984
2024-09-18 12:05:25,0.122
2024-09-18 12:05:26,0.109912
2024-09-18 12:05:27,0.120688
2024-09-18 12:05:28,0.131128
2024-09-18 12:05:29,0.145736
2024-09-18 12:05:30,0.150416
2024-09-18 12:05:31,0.141232
2024-09-18 12:05:32,0.127504
2024-09-18 12:05:33,0.126992
2024-09-18 12:05:34,0.130344
2024-09-18 12:05:35,0.131512
2024-09-18 12:05:36,0.134768
2024-09-18 12:05:37,0.139704
2024-09-18 12:05:38,0.171064
2024-09-18 12:05:39,0.166976
2024-09-18 12:05:40,0.147
2024-09-18 12:05:41,0.144216
2024-09-18 12:05:42,0.124992
2024-09-18 12:05:43,0.147448
2024-09-18 12:05:44,0.107848
2024-09-18 12:05:45,0.101432
2024-09-18 12:05:46,0.093488
2024-09-18 12:05:47,0.105736
2024-09-18 12:05:48,0.09896
2024-09-18 12:05:49,0.110136
2024-09-18 12:05:50,0.103248
2024-09-18 12:05:51,0.08656
2024-09-18 12:05:52,0.087128
2024-09-18 12:05:53,0.101688
2024-09-18 12:05:54,0.101584
2024-09-18 12:05:55,0.143512
2024-09-18 12:05:56,0.131144
2024-09-18 12:05:57,0.133568
2024-09-18 12:05:58,0.121624
2024-09-18 12:05:59,0.138712
2024-09-18 12:06:00,0.145296
2024-09-18 12:06:01,0.11476
2024-09-18 12:06:02,0.10932
2024-09-18 12:06:03,0.110232
2024-09-18 12:06:04,0.120624
2024-09-18 12:06:05,0.121664
2024-09-18 12:06:06,0.120968
2024-09-18 12:06:07,0.12828
2024-09-18 12:06:08,0.14044
2024-09-18 12:06:09,0.13368
2024-09-18 12:06:10,0.137096
2024-09-18 12:06:11,0.131432
2024-09-18 12:06:12,0.136976
2024-09-18 12:06:13,0.117776
2024-09-18 12:06:14,0.1284
2024-09-18 12:06:15,0.110824
2024-09-18 12:06:16,0.114016
2024-09-18 12:06:17,0.092952
2024-09-18 12:06:18,0.102032
2024-09-18 12:06:19,0.1122
2024-09-18 12:06:20,0.116696
2024-09-18 12:06:21,0.111032
2024-09-18 12:06:22,0.115472
2024-09-18 12:06:23,0.106096
2024-09-18 12:06:24,0.10912
2024-09-18 12:06:25,0.102296
2024-09-18 12:06:26,0.105656
2024-09-18 12:06:27,0.092528
2024-09-18 12:06:28,0.111416
2024-09-18 12:06:29,0.111928
2024-09-18 12:06:30,0.113208
2024-09-18 12:06:31,0.120368
2024-09-18 12:06:32,0.112912
2024-09-18 12:06:33,0.161912
2024-09-18 12:06:34,0.15172
2024-09-18 12:06:35,0.152624
2024-09-18 12:06:36,0.152816
2024-09-18 12:06:37,0.128472
2024-09-18 12:06:38,0.152176
2024-09-18 12:06:39,0.15028
2024-09-18 12:06:40,0.137208
2024-09-18 12:06:41,0.118272
2024-09-18 12:06:42,0.129096
2024-09-18 12:06:43,0.18712
2024-09-18 12:06:44,0.143016
2024-09-18 12:06:45,0.112584
2024-09-18 12:06:46,0.20272
2024-09-18 12:06:47,0.164256
2024-09-18 12:06:48,0.17684
2024-09-18 12:06:49,0.128776
2024-09-18 12:06:50,0.112392
2024-09-18 12:06:51,0.133968
2024-09-18 12:06:52,0.128168
2024-09-18 12:06:53,0.14048
2024-09-18 12:06:54,0.1208
2024-09-18 12:06:55,0.12544
2024-09-18 12:06:56,0.128344
2024-09-18 12:06:57,0.131864
2024-09-18 12:06:58,0.12104
2024-09-18 12:06:59,0.135536
2024-09-18 12:07:00,0.17576
2024-09-18 12:07:01,0.167264
2024-09-18 12:07:02,0.14772
2024-09-18 12:07:03,0.14452
2024-09-18 12:07:04,0.142384
2024-09-18 12:07:05,0.14588
2024-09-18 12:07:06,0.17336
2024-09-18 12:07:07,0.150568
2024-09-18 12:07:08,0.14684
2024-09-18 12:07:09,0.13996
2024-09-18 12:07:10,0.14656
