throughput_mbps,rtt_ms,loss_rate,jitter_ms,users,cell_load
4.42656,24.25,0.0,2.3570226039551585,1.0,0.10367370117174217
25.325856,25.0,0.0,4.5,1.0,0.5931525217917691
0.0,30.0,0.0,5.0,1.0,0.0
0.0,30.0,0.0,5.0,1.0,0.0
0.0,30.0,0.0,5.0,1.0,0.0
0.0,30.0,0.0,5.0,1.0,0.0
7.0296,23.75,0.0,3.559026084010437,1.0,0.16463905374757798
28.11948,25.0,0.0,4.5,1.0,0.6585815094847421
0.0,30.0,0.0,5.0,1.0,0.0
0.0,30.0,0.0,5.0,1.0,0.0
0.0,30.0,0.0,5.0,1.0,0.0
0.0,30.0,0.0,5.0,1.0,0.0
2.826224,24.5,0.0,2.160246899469287,1.0,0.06619250669151798
21.407168,25.0,0.0,4.5,1.0,0.5013736034675417
0.0,30.0,0.0,5.0,1.0,0.0
0.0,30.0,0.0,5.0,1.0,0.0
0.0,30.0,0.0,5.0,1.0,0.0
0.0,30.0,0.0,5.0,1.0,0.0
3.1054,23.0,0.0,5.715476066494082,1.0,0.07273103981844324
28.308584,25.0,0.0,4.5,1.0,0.6630104817761787
0.0,30.0,0.0,5.0,1.0,0.0
0.011232,20.0,0.0,3.7416573867739413,1.0,0.00026306274207533797
0.0,30.0,0.0,5.0,1.0,0.0
0.0,30.0,0.0,5.0,1.0,0.0
13.402816,23.5,0.0,4.242640687119285,1.0,0.3139050506135339
14.561384,25.0,0.0,4.5,1.0,0.34103967267200436
0.0,30.0,0.0,5.0,1.0,0.0
0.0,30.0,0.0,5.0,1.0,0.0
0.0,30.0,0.0,5.0,1.0,0.0
0.0,30.0,0.0,5.0,1.0,0.0
0.861784,23.0,0.0,4.714045207910316,1.0,0.020183694989018255
26.161392,25.0,0.0,4.5,1.0,0.6127214668828178
0.0,30.0,0.0,5.0,1.0,0.0
0.0,30.0,0.0,5.0,1.0,0.0
0.0,30.0,0.0,5.0,1.0,0.0
0.0,30.0,0.0,5.0,1.0,0.0
0.037232,23.0,0.0,0.0,1.0,0.0008720042746571388
22.42152,25.0,0.0,4.5,1.0,0.52513056736975
0.0,30.0,0.0,5.0,1.0,0.0
0.0,30.0,0.0,5.0,1.0,0.0
0.0,30.0,0.0,5.0,1.0,0.0
0.0,30.0,0.0,5.0,1.0,0.0
0.037232,24.5,0.0,0.0,1.0,0.0008720042746571388
24.08808,25.0,0.0,4.5,1.0,0.5641627827751164
0.0,30.0,0.0,5.0,1.0,0.0
0.0,30.0,0.0,5.0,1.0,0.0
0.0,30.0,0.0,5.0,1.0,0.0
0.0,30.0,0.0,5.0,1.0,0.0
0.037232,22.0,0.0,0.0,1.0,0.0008720042746571388
24.007096,25.0,0.0,4.5,1.0,0.5622660704260931
0.0,30.0,0.0,5.0,1.0,0.0
0.0,30.0,0.0,5.0,1.0,0.0
0.0,30.0,0.0,5.0,1.0,0.0
0.047024,24.25,0.0,6.944222218666553,1.0,0.0011013410241587156
2.679184,23.25,0.0,4.96655480858378,1.0,0.06274870811648613
31.03108,24.571428571428573,0.0,3.7601713908928254,1.0,0.7267735928026334
0.0,30.0,0.0,5.0,1.0,0.0
