throughput_mbps,rtt_ms,loss_rate,jitter_ms,users,cell_load
0.234112,105.0,0.0,0.0,1.0,0.7230097405204414
0.012648,104.5,0.0,0.0,1.0,0.03906090759167639
0.063768,105.0,0.0,0.0,1.0,0.19693516408175366
0.06808,105.0,0.0,0.0,1.0,0.21025194408928913
0.041848,105.0,0.0,0.0,1.0,0.1292394735054138
0.423752,104.0,0.0,0.0,1.0,1.0
0.115992,105.0,0.0,0.0,1.0,0.3582189115570626
0.018464,104.0,0.0,0.0,1.0,0.057022501405179706
0.010064,105.0,0.0,0.0,1.0,0.031080722169721
0.011568,104.0,0.0,0.0,1.0,0.035725535975688845
0.012624,105.0,0.0,0.0,1.0,0.03898678822243222
0.021296,104.5,0.0,0.0,1.0,0.06576858697599149
0.017024,105.0,0.0,0.0,1.0,0.052575339250529644
0.02108,104.5,0.0,0.0,1.0,0.06510151265279399
0.01956,104.5,0.0,0.0,1.0,0.0604072859339967
0.01708,104.5,0.0,0.0,1.0,0.052748284445432704
0.018568,105.0,0.0,0.0,1.0,0.0573436853385711
0.033288,104.5,0.0,0.0,1.0,0.10280356514166063
0.023128,105.0,0.0,0.0,1.0,0.07142636549496297
0.018248,105.5,0.0,0.0,1.0,0.05635542708198219
0.013456,104.5,0.0,0.0,1.0,0.04155625968956337
0.01204,104.0,0.0,0.0,1.0,0.037183216904157476
0.005432,105.5,0.0,0.0,1.0,0.01677568390559663
0.007792,104.5,0.0,0.0,1.0,0.024064088547939788
0.005432,105.0,0.0,0.0,1.0,0.01677568390559663
0.007792,105.0,0.0,0.0,1.0,0.024064088547939788
0.007704,104.5,0.0,0.0,1.0,0.02379231752737784
0.007792,105.5,0.0,0.0,1.0,0.024064088547939788
0.007912,104.5,0.0,0.0,1.0,0.02443468539416063
0.007792,104.5,0.0,0.0,1.0,0.024064088547939788
0.02636,104.0,0.0,0.0,1.0,0.0814077738865109
0.031032,105.0,0.0,0.0,1.0,0.09583634443270887
0.096184,104.0,0.0,0.0,1.0,0.29704572547420954
0.049008,104.5,0.0,0.0,1.0,0.1513517519965905
0.05672,104.5,0.0,0.0,1.0,0.17516877598038305
0.020744,104.5,0.0,0.0,1.0,0.06406384148337563
0.013904,105.5,0.0,0.0,1.0,0.042939821248787834
0.016736,105.5,0.0,0.0,1.0,0.05168590681959963
0.074392,105.0,0.0,0.0,1.0,0.22974533820050522
0.011384,104.5,0.0,0.0,1.0,0.03515728747815022
0.009032,105.0,0.0,0.0,1.0,0.02789358929222179
0.024016,104.5,0.0,0.0,1.0,0.07416878215699717
0.048096,104.5,0.0,0.0,1.0,0.1485352159653121
0.049032,104.5,0.0,0.0,1.0,0.15142587136583466
0.048872,104.5,0.0,0.0,1.0,0.15093174223754022
0.051752,104.0,0.0,0.0,1.0,0.15982606654684034
0.064864,105.0,0.0,0.0,1.0,0.20031994861057065
0.067424,104.5,0.0,0.0,1.0,0.20822601466328186
0.07352,104.5,0.0,0.0,1.0,0.22705233445130046
0.081792,105.0,0.0,0.0,1.0,0.25259881038412363
0.089792,105.0,0.0,0.0,1.0,0.27730526679884615
0.075536,104.5,0.0,0.0,1.0,0.23327836146781056
0.052752,105.0,0.0,0.0,1.0,0.16291437359868066
0.061648,104.5,0.0,0.0,1.0,0.19038795313185217
0.057432,105.0,0.0,0.0,1.0,0.17736765060129336
0.071896,104.0,0.0,0.0,1.0,0.22203692379911177
0.093304,104.5,0.0,0.0,1.0,0.2881514011649094
