throughput_mbps,rtt_ms,loss_rate,jitter_ms,users,cell_load
0.132,103.0,0.0,0.0,1.0,0.660839265867652
0.004232,104.0,0.0,0.0,1.0,0.0211869073723629
0.025928,103.0,0.0,0.0,1.0,0.12980485216224605
0.017392,101.5,0.0,0.0,1.0,0.0870705796361379
0.005488,100.0,0.0,0.0,1.0,0.027474893114255102
0.012984,103.0,0.0,0.0,1.0,0.06500255324261812
0.023128,102.0,0.0,0.0,1.0,0.11578704955293222
0.030136,101.5,0.0,0.0,1.0,0.15087160694081483
0.025936,102.5,0.0,0.0,1.0,0.1298449030268441
0.313152,103.0,0.0,0.0,1.0,1.0
0.074704,103.0,0.0,0.0,1.0,0.373994973616493
0.044584,102.5,0.0,0.0,1.0,0.22320346840487418
0.047568,102.0,0.0,0.0,1.0,0.2381424408999429
0.078432,101.5,0.0,0.0,1.0,0.39265867651917935
0.0458,102.0,0.0,0.0,1.0,0.2292911998237762
0.031752,103.0,0.0,0.0,1.0,0.15896188158961883
0.040248,103.0,0.0,0.0,1.0,0.20149589979273677
0.234928,102.5,0.0,0.0,1.0,1.0
0.043944,103.0,0.0,0.0,1.0,0.21999939923703102
0.053888,103.0,0.0,0.0,1.0,0.2697826239323941
0.050712,102.0,0.0,0.0,1.0,0.25388243068697247
0.051256,103.0,0.0,0.0,1.0,0.25660588947963914
0.07604,102.5,0.0,0.0,1.0,0.38068346800436553
0.051584,102.0,0.0,0.0,1.0,0.25824797492815876
0.050816,102.5,0.0,0.0,1.0,0.254403091926747
0.046776,102.5,0.0,0.0,1.0,0.234177405304737
0.066248,102.0,0.0,0.0,1.0,0.3316612097363652
0.050712,102.5,0.0,0.0,1.0,0.25388243068697247
0.035176,103.0,0.0,0.0,1.0,0.1761036516375797
0.032832,102.5,0.0,0.0,1.0,0.16436874831035414
0.03636,103.0,0.0,0.0,1.0,0.1820311795980896
0.036504,102.0,0.0,0.0,1.0,0.18275209516085428
0.036864,103.0,0.0,0.0,1.0,0.18455438406776606
0.040696,103.0,0.0,0.0,1.0,0.203738748210227
0.031576,102.0,0.0,0.0,1.0,0.15808076256846193
0.035632,102.5,0.0,0.0,1.0,0.17838655091966796
0.04012,103.5,0.0,0.0,1.0,0.20085508595916815
